year,group,age,rate
2004,Male,All ages,18.1
2005,Male,All ages,18.1
2006,Male,All ages,18.1
2007,Male,All ages,18.5
2008,Male,All ages,19.0
2009,Male,All ages,19.2
2010,Male,All ages,19.8
2011,Male,All ages,20.0
2012,Male,All ages,20.4
2013,Male,All ages,20.3
2014,Male,All ages,20.7
2015,Male,All ages,21.1
2016,Male,All ages,21.4
2017,Male,All ages,22.4
2018,Male,All ages,22.8
1950,Female,All ages,5.6
1960,Female,All ages,5.6
1970,Female,All ages,7.4
1980,Female,All ages,5.7
1981,Female,All ages,6.0
1982,Female,All ages,5.8
1983,Female,All ages,5.5
1984,Female,All ages,5.6
1985,Female,All ages,5.2
1986,Female,All ages,5.5
1987,Female,All ages,5.3
1988,Female,All ages,5.1
1989,Female,All ages,4.9
1990,Female,All ages,4.8
1991,Female,All ages,4.7
1992,Female,All ages,4.6
1993,Female,All ages,4.6
1994,Female,All ages,4.4
1995,Female,All ages,4.3
1996,Female,All ages,4.3
1997,Female,All ages,4.3
1998,Female,All ages,4.3
1999,Female,All ages,4.0
2000,Female,All ages,4.0
2001,Female,All ages,4.1
2002,Female,All ages,4.2
2003,Female,All ages,4.2
2004,Female,All ages,4.5
2005,Female,All ages,4.4
2006,Female,All ages,4.5
2007,Female,All ages,4.6
2008,Female,All ages,4.8
2009,Female,All ages,4.9
2010,Female,All ages,5.0
2011,Female,All ages,5.2
2012,Female,All ages,5.4
2013,Female,All ages,5.5
2014,Female,All ages,5.8
2015,Female,All ages,6.0
2016,Female,All ages,6.0
2017,Female,All ages,6.1
2018,Female,All ages,6.2
1950,Male: White,All ages,22.3
1960,Male: White,All ages,21.1
1970,Male: White,All ages,20.8
1980,Male: White,All ages,20.9
1981,Male: White,All ages,20.9
1982,Male: White,All ages,21.6
1983,Male: White,All ages,21.6
1984,Male: White,All ages,22.1
1985,Male: White,All ages,22.4
1986,Male: White,All ages,23.2
1987,Male: White,All ages,23.0
1988,Male: White,All ages,22.5
1989,Male: White,All ages,22.3
1990,Male: White,All ages,22.8
1991,Male: White,All ages,22.4
1992,Male: White,All ages,21.8
1993,Male: White,All ages,21.9
1994,Male: White,All ages,21.7
1995,Male: White,All ages,21.6
1996,Male: White,All ages,21.1
1997,Male: White,All ages,20.3
1998,Male: White,All ages,20.3
1999,Male: White,All ages,19.0
2000,Male: White,All ages,19.1
2001,Male: White,All ages,19.6
2002,Male: White,All ages,20.1
2003,Male: White,All ages,19.7
2004,Male: White,All ages,19.7
2005,Male: White,All ages,19.8
2006,Male: White,All ages,19.9
2007,Male: White,All ages,20.4
2008,Male: White,All ages,21.1
2009,Male: White,All ages,21.4
2010,Male: White,All ages,22.0
2011,Male: White,All ages,22.3
2012,Male: White,All ages,22.6
2013,Male: White,All ages,22.6
2014,Male: White,All ages,23.3
2015,Male: White,All ages,23.6
2016,Male: White,All ages,23.9
2017,Male: White,All ages,25.1
2018,Male: White,All ages,25.5
1950,Male: Black or African American,All ages,7.5
1960,Male: Black or African American,All ages,8.4
1970,Male: Black or African American,All ages,10.0
1980,Male: Black or African American,All ages,11.4
1981,Male: Black or African American,All ages,11.4
1982,Male: Black or African American,All ages,11.2
1983,Male: Black or African American,All ages,11.1
1984,Male: Black or African American,All ages,11.7
1985,Male: Black or African American,All ages,11.8
1986,Male: Black or African American,All ages,12.2
1987,Male: Black or African American,All ages,12.8
1988,Male: Black or African American,All ages,12.2
1989,Male: Black or African American,All ages,13.0
1990,Male: Black or African American,All ages,12.8
1991,Male: Black or African American,All ages,12.9
1992,Male: Black or African American,All ages,12.5
1993,Male: Black or African American,All ages,12.9
1994,Male: Black or African American,All ages,12.8
1995,Male: Black or African American,All ages,12.4
1996,Male: Black or African American,All ages,11.8
1997,Male: Black or African American,All ages,11.3
1998,Male: Black or African American,All ages,10.4
1999,Male: Black or African American,All ages,10.3
2000,Male: Black or African American,All ages,10.0
2001,Male: Black or African American,All ages,9.8
2002,Male: Black or African American,All ages,9.9
2003,Male: Black or African American,All ages,9.2
2004,Male: Black or African American,All ages,9.6
2005,Male: Black or African American,All ages,9.2
2006,Male: Black or African American,All ages,9.4
2007,Male: Black or African American,All ages,8.7
2008,Male: Black or African American,All ages,9.4
2009,Male: Black or African American,All ages,8.9
2010,Male: Black or African American,All ages,9.1
2011,Male: Black or African American,All ages,9.3
2012,Male: Black or African American,All ages,9.6
2013,Male: Black or African American,All ages,9.3
2014,Male: Black or African American,All ages,9.5
2015,Male: Black or African American,All ages,9.6
2016,Male: Black or African American,All ages,10.2
2017,Male: Black or African American,All ages,11.0
2018,Male: Black or African American,All ages,11.6
1980,Male: American Indian or Alaska Native,All ages,19.3
1981,Male: American Indian or Alaska Native,All ages,21.6
1982,Male: American Indian or Alaska Native,All ages,18.6
1983,Male: American Indian or Alaska Native,All ages,20.7
1984,Male: American Indian or Alaska Native,All ages,18.0
1985,Male: American Indian or Alaska Native,All ages,17.9
1986,Male: American Indian or Alaska Native,All ages,20.7
1987,Male: American Indian or Alaska Native,All ages,18.2
1988,Male: American Indian or Alaska Native,All ages,18.8
1989,Male: American Indian or Alaska Native,All ages,17.6
1990,Male: American Indian or Alaska Native,All ages,20.1
1991,Male: American Indian or Alaska Native,All ages,18.1
1992,Male: American Indian or Alaska Native,All ages,16.9
1993,Male: American Indian or Alaska Native,All ages,17.5
1994,Male: American Indian or Alaska Native,All ages,20.4
1995,Male: American Indian or Alaska Native,All ages,17.4
1996,Male: American Indian or Alaska Native,All ages,17.9
1997,Male: American Indian or Alaska Native,All ages,18.6
1998,Male: American Indian or Alaska Native,All ages,17.8
1999,Male: American Indian or Alaska Native,All ages,16.5
2000,Male: American Indian or Alaska Native,All ages,16.0
2001,Male: American Indian or Alaska Native,All ages,17.2
2002,Male: American Indian or Alaska Native,All ages,16.1
2003,Male: American Indian or Alaska Native,All ages,16.0
2004,Male: American Indian or Alaska Native,All ages,17.5
2005,Male: American Indian or Alaska Native,All ages,17.3
2006,Male: American Indian or Alaska Native,All ages,16.5
2007,Male: American Indian or Alaska Native,All ages,15.9
2008,Male: American Indian or Alaska Native,All ages,15.4
2009,Male: American Indian or Alaska Native,All ages,14.6
2010,Male: American Indian or Alaska Native,All ages,15.5
2011,Male: American Indian or Alaska Native,All ages,16.4
2012,Male: American Indian or Alaska Native,All ages,17.4
2013,Male: American Indian or Alaska Native,All ages,18.1
2014,Male: American Indian or Alaska Native,All ages,16.4
2015,Male: American Indian or Alaska Native,All ages,18.8
2016,Male: American Indian or Alaska Native,All ages,20.7
2017,Male: American Indian or Alaska Native,All ages,20.4
2018,Male: American Indian or Alaska Native,All ages,20.9
1980,Male: Asian or Pacific Islander,All ages,10.7
1981,Male: Asian or Pacific Islander,All ages,9.3
1982,Male: Asian or Pacific Islander,All ages,8.7
1983,Male: Asian or Pacific Islander,All ages,9.5
1984,Male: Asian or Pacific Islander,All ages,9.7
1985,Male: Asian or Pacific Islander,All ages,9.3
1986,Male: Asian or Pacific Islander,All ages,9.4
1987,Male: Asian or Pacific Islander,All ages,10.9
1988,Male: Asian or Pacific Islander,All ages,8.7
1989,Male: Asian or Pacific Islander,All ages,8.8
1990,Male: Asian or Pacific Islander,All ages,9.6
1991,Male: Asian or Pacific Islander,All ages,9.9
1992,Male: Asian or Pacific Islander,All ages,9.1
1993,Male: Asian or Pacific Islander,All ages,9.8
1994,Male: Asian or Pacific Islander,All ages,10.0
1995,Male: Asian or Pacific Islander,All ages,9.6
1996,Male: Asian or Pacific Islander,All ages,8.9
1997,Male: Asian or Pacific Islander,All ages,9.9
1998,Male: Asian or Pacific Islander,All ages,9.6
1999,Male: Asian or Pacific Islander,All ages,9.0
2000,Male: Asian or Pacific Islander,All ages,8.6
2001,Male: Asian or Pacific Islander,All ages,8.3
2002,Male: Asian or Pacific Islander,All ages,8.0
2003,Male: Asian or Pacific Islander,All ages,8.5
2004,Male: Asian or Pacific Islander,All ages,8.3
2005,Male: Asian or Pacific Islander,All ages,7.3
2006,Male: Asian or Pacific Islander,All ages,7.8
2007,Male: Asian or Pacific Islander,All ages,8.8
2008,Male: Asian or Pacific Islander,All ages,7.9
2009,Male: Asian or Pacific Islander,All ages,8.7
2010,Male: Asian or Pacific Islander,All ages,9.5
2011,Male: Asian or Pacific Islander,All ages,8.7
2012,Male: Asian or Pacific Islander,All ages,9.4
2013,Male: Asian or Pacific Islander,All ages,9.1
2014,Male: Asian or Pacific Islander,All ages,8.9
2015,Male: Asian or Pacific Islander,All ages,9.1
2016,Male: Asian or Pacific Islander,All ages,10.1
2017,Male: Asian or Pacific Islander,All ages,9.7
2018,Male: Asian or Pacific Islander,All ages,10.4
1950,Female: White,All ages,6.0
1960,Female: White,All ages,5.9
1970,Female: White,All ages,7.9
1980,Female: White,All ages,6.1
1981,Female: White,All ages,6.4
1982,Female: White,All ages,6.2
1983,Female: White,All ages,6.0
1984,Female: White,All ages,6.0
1985,Female: White,All ages,5.7
1986,Female: White,All ages,6.0
1987,Female: White,All ages,5.7
1988,Female: White,All ages,5.5
1989,Female: White,All ages,5.2
1990,Female: White,All ages,5.2
1991,Female: White,All ages,5.1
1992,Female: White,All ages,5.0
1993,Female: White,All ages,5.0
1994,Female: White,All ages,4.8
1995,Female: White,All ages,4.7
1996,Female: White,All ages,4.6
1997,Female: White,All ages,4.7
1998,Female: White,All ages,4.6
1999,Female: White,All ages,4.4
2000,Female: White,All ages,4.3
2001,Female: White,All ages,4.5
2002,Female: White,All ages,4.7
2003,Female: White,All ages,4.6
2004,Female: White,All ages,5.0
2005,Female: White,All ages,4.9
2006,Female: White,All ages,5.1
2007,Female: White,All ages,5.2
2008,Female: White,All ages,5.4
2009,Female: White,All ages,5.5
2010,Female: White,All ages,5.6
2011,Female: White,All ages,5.9
2012,Female: White,All ages,6.1
2013,Female: White,All ages,6.3
2014,Female: White,All ages,6.6
2015,Female: White,All ages,6.9
2016,Female: White,All ages,6.9
2017,Female: White,All ages,6.9
2018,Female: White,All ages,7.0
1950,Female: Black or African American,All ages,1.8
1960,Female: Black or African American,All ages,2.0
1970,Female: Black or African American,All ages,2.9
1980,Female: Black or African American,All ages,2.4
1981,Female: Black or African American,All ages,2.5
1982,Female: Black or African American,All ages,2.3
1983,Female: Black or African American,All ages,2.2
1984,Female: Black or African American,All ages,2.3
1985,Female: Black or African American,All ages,2.3
1986,Female: Black or African American,All ages,2.4
1987,Female: Black or African American,All ages,2.1
1988,Female: Black or African American,All ages,2.5
1989,Female: Black or African American,All ages,2.5
1990,Female: Black or African American,All ages,2.4
1991,Female: Black or African American,All ages,2.0
1992,Female: Black or African American,All ages,2.1
1993,Female: Black or African American,All ages,2.1
1994,Female: Black or African American,All ages,2.1
1995,Female: Black or African American,All ages,2.0
1996,Female: Black or African American,All ages,2.0
1997,Female: Black or African American,All ages,1.9
1998,Female: Black or African American,All ages,1.7
1999,Female: Black or African American,All ages,1.6
2000,Female: Black or African American,All ages,1.8
2001,Female: Black or African American,All ages,1.8
2002,Female: Black or African American,All ages,1.6
2003,Female: Black or African American,All ages,1.8
2004,Female: Black or African American,All ages,1.8
2005,Female: Black or African American,All ages,1.8
2006,Female: Black or African American,All ages,1.4
2007,Female: Black or African American,All ages,1.7
2008,Female: Black or African American,All ages,1.6
2009,Female: Black or African American,All ages,1.8
2010,Female: Black or African American,All ages,1.8
2011,Female: Black or African American,All ages,1.9
2012,Female: Black or African American,All ages,2.0
2013,Female: Black or African American,All ages,2.0
2014,Female: Black or African American,All ages,2.1
2015,Female: Black or African American,All ages,2.0
2016,Female: Black or African American,All ages,2.4
2017,Female: Black or African American,All ages,2.7
2018,Female: Black or African American,All ages,2.8
1980,Female: American Indian or Alaska Native,All ages,4.7
1981,Female: American Indian or Alaska Native,All ages,4.1
1982,Female: American Indian or Alaska Native,All ages,3.3
1983,Female: American Indian or Alaska Native,All ages,4.0
1984,Female: American Indian or Alaska Native,All ages,3.0
1985,Female: American Indian or Alaska Native,All ages,4.1
1986,Female: American Indian or Alaska Native,All ages,4.1
1987,Female: American Indian or Alaska Native,All ages,4.2
1988,Female: American Indian or Alaska Native,All ages,3.5
1989,Female: American Indian or Alaska Native,All ages,3.4
1990,Female: American Indian or Alaska Native,All ages,3.6
1991,Female: American Indian or Alaska Native,All ages,3.2
1992,Female: American Indian or Alaska Native,All ages,3.7
1993,Female: American Indian or Alaska Native,All ages,5.1
1994,Female: American Indian or Alaska Native,All ages,3.7
1995,Female: American Indian or Alaska Native,All ages,3.9
1996,Female: American Indian or Alaska Native,All ages,5.1
1997,Female: American Indian or Alaska Native,All ages,4.0
1998,Female: American Indian or Alaska Native,All ages,4.7
1999,Female: American Indian or Alaska Native,All ages,4.0
2000,Female: American Indian or Alaska Native,All ages,3.8
2001,Female: American Indian or Alaska Native,All ages,3.9
2002,Female: American Indian or Alaska Native,All ages,4.0
2003,Female: American Indian or Alaska Native,All ages,3.3
2004,Female: American Indian or Alaska Native,All ages,5.5
2005,Female: American Indian or Alaska Native,All ages,4.2
2006,Female: American Indian or Alaska Native,All ages,4.5
2007,Female: American Indian or Alaska Native,All ages,4.3
2008,Female: American Indian or Alaska Native,All ages,4.9
2009,Female: American Indian or Alaska Native,All ages,5.4
2010,Female: American Indian or Alaska Native,All ages,6.1
2011,Female: American Indian or Alaska Native,All ages,5.0
2012,Female: American Indian or Alaska Native,All ages,4.3
2013,Female: American Indian or Alaska Native,All ages,5.3
2014,Female: American Indian or Alaska Native,All ages,5.5
2015,Female: American Indian or Alaska Native,All ages,6.5
2016,Female: American Indian or Alaska Native,All ages,6.4
2017,Female: American Indian or Alaska Native,All ages,6.6
2018,Female: American Indian or Alaska Native,All ages,6.6
1980,Female: Asian or Pacific Islander,All ages,5.5
1981,Female: Asian or Pacific Islander,All ages,6.4
1982,Female: Asian or Pacific Islander,All ages,5.0
1983,Female: Asian or Pacific Islander,All ages,5.6
1984,Female: Asian or Pacific Islander,All ages,5.5
1985,Female: Asian or Pacific Islander,All ages,5.0
1986,Female: Asian or Pacific Islander,All ages,4.5
1987,Female: Asian or Pacific Islander,All ages,4.6
1988,Female: Asian or Pacific Islander,All ages,4.0
1989,Female: Asian or Pacific Islander,All ages,4.6
1990,Female: Asian or Pacific Islander,All ages,4.1
1991,Female: Asian or Pacific Islander,All ages,4.2
1992,Female: Asian or Pacific Islander,All ages,4.2
1993,Female: Asian or Pacific Islander,All ages,4.1
1994,Female: Asian or Pacific Islander,All ages,4.1
1995,Female: Asian or Pacific Islander,All ages,4.1
1996,Female: Asian or Pacific Islander,All ages,3.9
1997,Female: Asian or Pacific Islander,All ages,3.8
1998,Female: Asian or Pacific Islander,All ages,3.5
1999,Female: Asian or Pacific Islander,All ages,3.4
2000,Female: Asian or Pacific Islander,All ages,2.8
2001,Female: Asian or Pacific Islander,All ages,2.8
2002,Female: Asian or Pacific Islander,All ages,3.0
2003,Female: Asian or Pacific Islander,All ages,3.1
2004,Female: Asian or Pacific Islander,All ages,3.4
2005,Female: Asian or Pacific Islander,All ages,3.2
2006,Female: Asian or Pacific Islander,All ages,3.3
2007,Female: Asian or Pacific Islander,All ages,3.4
2008,Female: Asian or Pacific Islander,All ages,3.5
2009,Female: Asian or Pacific Islander,All ages,3.5
2010,Female: Asian or Pacific Islander,All ages,3.4
2011,Female: Asian or Pacific Islander,All ages,3.4
2012,Female: Asian or Pacific Islander,All ages,3.6
2013,Female: Asian or Pacific Islander,All ages,3.0
2014,Female: Asian or Pacific Islander,All ages,3.4
2015,Female: Asian or Pacific Islander,All ages,4.0
2016,Female: Asian or Pacific Islander,All ages,3.6
2017,Female: Asian or Pacific Islander,All ages,3.8
2018,Female: Asian or Pacific Islander,All ages,3.8
1985,Male: Not Hispanic or Latino: White,All ages,22.9
1986,Male: Not Hispanic or Latino: White,All ages,22.8
1987,Male: Not Hispanic or Latino: White,All ages,22.2
1988,Male: Not Hispanic or Latino: White,All ages,22.4
1989,Male: Not Hispanic or Latino: White,All ages,22.6
1990,Male: Not Hispanic or Latino: White,All ages,23.5
1991,Male: Not Hispanic or Latino: White,All ages,22.9
1992,Male: Not Hispanic or Latino: White,All ages,22.2
1993,Male: Not Hispanic or Latino: White,All ages,22.3
1994,Male: Not Hispanic or Latino: White,All ages,22.3
1995,Male: Not Hispanic or Latino: White,All ages,22.3
1996,Male: Not Hispanic or Latino: White,All ages,21.9
1997,Male: Not Hispanic or Latino: White,All ages,21.3
1998,Male: Not Hispanic or Latino: White,All ages,21.3
1999,Male: Not Hispanic or Latino: White,All ages,20.2
2000,Male: Not Hispanic or Latino: White,All ages,20.2
2001,Male: Not Hispanic or Latino: White,All ages,21.0
2002,Male: Not Hispanic or Latino: White,All ages,21.5
2003,Male: Not Hispanic or Latino: White,All ages,21.1
2004,Male: Not Hispanic or Latino: White,All ages,21.1
2005,Male: Not Hispanic or Latino: White,All ages,21.4
2006,Male: Not Hispanic or Latino: White,All ages,21.6
2007,Male: Not Hispanic or Latino: White,All ages,22.1
2008,Male: Not Hispanic or Latino: White,All ages,23.1
2009,Male: Not Hispanic or Latino: White,All ages,23.4
2010,Male: Not Hispanic or Latino: White,All ages,24.2
2011,Male: Not Hispanic or Latino: White,All ages,24.8
2012,Male: Not Hispanic or Latino: White,All ages,25.2
2013,Male: Not Hispanic or Latino: White,All ages,25.3
2014,Male: Not Hispanic or Latino: White,All ages,25.9
2015,Male: Not Hispanic or Latino: White,All ages,26.6
2016,Male: Not Hispanic or Latino: White,All ages,26.6
2017,Male: Not Hispanic or Latino: White,All ages,28.2
2018,Male: Not Hispanic or Latino: White,All ages,28.4
1999,Male: Not Hispanic or Latino: Black or African American,All ages,10.5
2000,Male: Not Hispanic or Latino: Black or African American,All ages,10.2
2001,Male: Not Hispanic or Latino: Black or African American,All ages,9.9
2002,Male: Not Hispanic or Latino: Black or African American,All ages,10.0
2003,Male: Not Hispanic or Latino: Black or African American,All ages,9.5
2004,Male: Not Hispanic or Latino: Black or African American,All ages,9.8
2005,Male: Not Hispanic or Latino: Black or African American,All ages,9.5
2006,Male: Not Hispanic or Latino: Black or African American,All ages,9.6
2007,Male: Not Hispanic or Latino: Black or African American,All ages,9.0
2008,Male: Not Hispanic or Latino: Black or African American,All ages,9.7
2009,Male: Not Hispanic or Latino: Black or African American,All ages,9.3
2010,Male: Not Hispanic or Latino: Black or African American,All ages,9.4
2011,Male: Not Hispanic or Latino: Black or African American,All ages,9.7
2012,Male: Not Hispanic or Latino: Black or African American,All ages,10.0
2013,Male: Not Hispanic or Latino: Black or African American,All ages,9.7
2014,Male: Not Hispanic or Latino: Black or African American,All ages,9.7
2015,Male: Not Hispanic or Latino: Black or African American,All ages,10.0
2016,Male: Not Hispanic or Latino: Black or African American,All ages,10.6
2017,Male: Not Hispanic or Latino: Black or African American,All ages,11.4
2018,Male: Not Hispanic or Latino: Black or African American,All ages,12.0
1985,Male: Hispanic or Latino: All races,All ages,11.0
1986,Male: Hispanic or Latino: All races,All ages,12.2
1987,Male: Hispanic or Latino: All races,All ages,12.2
1988,Male: Hispanic or Latino: All races,All ages,12.3
1989,Male: Hispanic or Latino: All races,All ages,15.1
1990,Male: Hispanic or Latino: All races,All ages,13.7
1991,Male: Hispanic or Latino: All races,All ages,13.9
1992,Male: Hispanic or Latino: All races,All ages,13.3
1993,Male: Hispanic or Latino: All races,All ages,13.5
1994,Male: Hispanic or Latino: All races,All ages,12.7
1995,Male: Hispanic or Latino: All races,All ages,12.7
1996,Male: Hispanic or Latino: All races,All ages,12.1
1997,Male: Hispanic or Latino: All races,All ages,11.1
1998,Male: Hispanic or Latino: All races,All ages,10.7
1999,Male: Hispanic or Latino: All races,All ages,10.3
2000,Male: Hispanic or Latino: All races,All ages,10.3
2001,Male: Hispanic or Latino: All races,All ages,10.1
2002,Male: Hispanic or Latino: All races,All ages,10.1
2003,Male: Hispanic or Latino: All races,All ages,9.9
2004,Male: Hispanic or Latino: All races,All ages,10.0
2005,Male: Hispanic or Latino: All races,All ages,9.6
2006,Male: Hispanic or Latino: All races,All ages,9.0
2007,Male: Hispanic or Latino: All races,All ages,10.3
2008,Male: Hispanic or Latino: All races,All ages,9.5
2009,Male: Hispanic or Latino: All races,All ages,9.9
2010,Male: Hispanic or Latino: All races,All ages,9.9
2011,Male: Hispanic or Latino: All races,All ages,9.4
2012,Male: Hispanic or Latino: All races,All ages,9.5
2013,Male: Hispanic or Latino: All races,All ages,9.3
2014,Male: Hispanic or Latino: All races,All ages,10.3
2015,Male: Hispanic or Latino: All races,All ages,9.9
2016,Male: Hispanic or Latino: All races,All ages,10.9
2017,Male: Hispanic or Latino: All races,All ages,11.2
2018,Male: Hispanic or Latino: All races,All ages,12.1
1999,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,19.8
2000,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,19.5
2001,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,21.3
2002,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,21.1
2003,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,22.0
2004,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,24.0
2005,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,24.1
2006,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,23.6
2007,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,23.2
2008,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,23.9
2009,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,23.1
2010,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,24.9
2011,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,25.6
2012,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,28.2
2013,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,29.3
2014,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,27.4
2015,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,30.3
2016,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,33.1
2017,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,33.8
2018,Male: Not Hispanic or Latino: American Indian or Alaska Native,All ages,34.2
1999,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,9.0
2000,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,8.7
2001,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,8.4
2002,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,8.0
2003,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,8.5
2004,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,8.4
2005,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,7.4
2006,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,7.9
2007,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,8.9
2008,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,8.0
2009,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,8.7
2010,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,9.5
2011,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,9.0
2012,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,9.5
2013,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,9.2
2014,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,8.9
2015,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,9.2
2016,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,10.2
2017,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,9.9
2018,Male: Not Hispanic or Latino: Asian or Pacific Islander,All ages,10.5
1985,Female: Not Hispanic or Latino: White,All ages,6.1
1986,Female: Not Hispanic or Latino: White,All ages,6.1
1987,Female: Not Hispanic or Latino: White,All ages,5.8
1988,Female: Not Hispanic or Latino: White,All ages,5.6
1989,Female: Not Hispanic or Latino: White,All ages,5.4
1990,Female: Not Hispanic or Latino: White,All ages,5.4
1991,Female: Not Hispanic or Latino: White,All ages,5.3
1992,Female: Not Hispanic or Latino: White,All ages,5.1
1993,Female: Not Hispanic or Latino: White,All ages,5.1
1994,Female: Not Hispanic or Latino: White,All ages,5.0
1995,Female: Not Hispanic or Latino: White,All ages,4.9
1996,Female: Not Hispanic or Latino: White,All ages,4.8
1997,Female: Not Hispanic or Latino: White,All ages,5.1
1998,Female: Not Hispanic or Latino: White,All ages,5.0
1999,Female: Not Hispanic or Latino: White,All ages,4.7
2000,Female: Not Hispanic or Latino: White,All ages,4.7
2001,Female: Not Hispanic or Latino: White,All ages,4.8
2002,Female: Not Hispanic or Latino: White,All ages,5.1
2003,Female: Not Hispanic or Latino: White,All ages,5.1
2004,Female: Not Hispanic or Latino: White,All ages,5.5
2005,Female: Not Hispanic or Latino: White,All ages,5.3
2006,Female: Not Hispanic or Latino: White,All ages,5.6
2007,Female: Not Hispanic or Latino: White,All ages,5.8
2008,Female: Not Hispanic or Latino: White,All ages,6.0
2009,Female: Not Hispanic or Latino: White,All ages,6.1
2010,Female: Not Hispanic or Latino: White,All ages,6.2
2011,Female: Not Hispanic or Latino: White,All ages,6.7
2012,Female: Not Hispanic or Latino: White,All ages,6.9
2013,Female: Not Hispanic or Latino: White,All ages,7.1
2014,Female: Not Hispanic or Latino: White,All ages,7.5
2015,Female: Not Hispanic or Latino: White,All ages,7.8
2016,Female: Not Hispanic or Latino: White,All ages,7.9
2017,Female: Not Hispanic or Latino: White,All ages,7.9
2018,Female: Not Hispanic or Latino: White,All ages,8.0
1999,Female: Not Hispanic or Latino: Black or African American,All ages,1.7
2000,Female: Not Hispanic or Latino: Black or African American,All ages,1.8
2001,Female: Not Hispanic or Latino: Black or African American,All ages,1.8
